content_id,target_bin
2,0.075249032
5,0.006249283
6,0.079125099
11,0.147228794
14,0.266559166
16,0.025583335
20,0.080595634
21,0.265557544
26,0.070993716
27,0.015808241
28,0.299063737
30,0.067631136
33,0.152337969
39,0.068864743
40,0.235793302
41,0.095138991
42,0.064394011
45,0.113424761
47,0.224718989
51,0.22378088
56,0.11433636
62,0.045949698
65,0.162260592
71,0.084050016
72,0.071360895
74,0.3090536
78,0.015478526
79,0.835422123
81,0.039503947
82,0.032336966
83,0.022788368
85,0.12842826
87,0.083322937
98,0.094055171
100,0.028692715
103,0.09991824
104,0.237038126
105,0.117211608
106,0.191262772
115,0.074822436
119,0.921742885
124,0.090943738
126,0.052272332
128,0.181342387
133,0.108928191
136,0.026572042
137,0.058155256
140,0.060026877
148,0.099233964
152,0.017402724
154,0.162654166
155,0.117356225
156,0.054861735
157,0.037211891
160,0.058014794
161,0.183043182
162,0.071105323
168,0.100803278
174,0.054908251
175,0.045068856
193,0.023090974
199,0.278714893
200,0.030905073
201,0.855834815
202,0.056441975
207,0.044647757
209,0.114107135
211,0.060316386
218,0.029007956
219,0.117259569
222,0.020480862
225,0.155875753
232,0.074223441
236,0.136019289
244,0.042421784
246,0.110131243
249,0.138325139
250,0.054956457
253,0.028791321
255,0.118391778
256,0.030521168
261,0.042995067
262,0.131518018
271,0.189037348
273,0.052594362
276,0.022800203
280,0.0564431
282,0.038152028
285,0.018445098
286,0.039322208
292,0.082734209
295,0.188639379
298,0.052241177
299,0.023834871
300,0.04099359
301,0.055730461
302,0.075106363
306,0.678333697
310,0.089585296
314,0.142496436
315,0.03773958
316,0.120588053
321,0.064455589
330,0.396012949
331,0.121948829
336,0.041908548
337,0.043983337
338,0.321600059
339,0.080927138
342,0.118591965
343,0.132459086
345,0.267388919
346,0.042929528
355,0.20398558
358,0.742526258
360,0.158771659
361,0.094076926
364,0.095839358
365,0.102354628
368,0.068239088
371,0.062972184
374,0.327644839
378,0.057743219
379,0.070605416
382,0.014025435
386,0.051516343
394,0.03205042
402,0.063337058
406,0.023849063
407,0.049120326
410,0.072491572
414,0.081766769
415,0.586247622
418,0.178987874
426,0.088031693
429,0.30235687
430,0.031086184
433,0.112423477
435,0.06439457
437,0.035377369
439,0.132759872
444,0.043384509
446,0.046684158
447,0.063040812
454,0.17650376
455,0.177843451
457,0.089751857
459,0.176350686
464,0.08549303
467,0.174471499
469,0.142082258
474,0.073882523
482,0.717589169
483,0.039813457
488,0.069625477
489,0.13007528
492,0.025710708
502,0.340755123
503,0.118284728
505,0.16464269
506,0.11878035
507,0.213681349
510,0.081977336
518,0.098905668
519,0.06188072
520,0.094120728
523,0.009734814
530,0.066103747
533,0.107606101
535,0.036884151
537,0.221659259
538,0.107095889
544,0.085340766
546,0.061952944
548,0.11050162
549,0.044287685
552,0.077958928
555,0.091980541
556,0.12860766
559,0.125864903
562,0.128853244
565,0.050194079
566,0.155952417
578,0.093329234
582,0.161893681
584,0.164563777
587,0.166184633
589,0.055323692
595,0.0421294
596,0.015255549
598,0.035074792
600,0.087608995
601,0.141993645
603,0.041502203
605,0.044418789
607,0.760213905
609,0.155389128
612,0.134840749
614,0.029793599
616,0.222266575
617,0.092977389
619,0.030428325
621,0.027728634
626,0.19907763
630,0.050938614
635,0.070021631
637,0.051833555
643,0.038593199
645,0.09115571
647,0.059820288
650,0.206087938
651,0.084618237
657,0.011819087
658,0.08210647
659,0.080504261
662,0.102292099
665,0.030214079
666,0.096621447
670,0.025354681
673,0.11310559
674,0.186493126
677,0.129540799
680,0.03998981
685,0.032468119
687,0.065609492
693,0.067362199
696,0.09985826
697,0.046744502
698,0.088250325
699,0.042133611
701,0.0319223
702,0.082313035
703,0.100781953
706,0.917648342
709,0.206605553
712,0.266139787
713,0.251432928
715,0.434225124
718,0.121320588
719,0.026464445
721,0.017038479
724,0.091297241
725,0.073619078
730,0.048545146
734,0.034355933
735,0.067616138
738,0.089233578
739,0.139033449
740,0.114896492
744,0.094105913
745,0.042165772
747,0.048396665
751,0.014277735
763,0.209413551
767,0.046718089
768,0.141524201
769,0.254959903
770,0.142192206
771,0.041677774
776,0.76347821
779,0.854924119
787,0.831126697
792,0.164239986
795,0.077616191
807,0.059844009
812,0.176276021
815,0.018829111
816,0.388578068
817,0.13378833
819,0.059609598
820,0.015135087
823,0.072041942
824,0.051142657
827,0.041149033
830,0.113916579
833,0.045136286
834,0.125562173
839,0.140978556
846,0.038549118
848,0.036207097
849,0.010171045
857,0.064178715
871,0.170028488
874,0.863694307
875,0.175082834
876,0.197582959
877,0.040567693
878,0.023198151
879,0.134195174
889,0.030164243
893,0.086623416
899,0.14837734
904,0.117495425
906,0.064172762
910,0.17956939
917,0.137947377
922,0.023991823
925,0.124811677
926,0.272753378
929,0.707464423
930,0.173298418
932,0.031952822
933,0.078779374
939,0.052336254
942,0.108304657
943,0.019197738
949,0.013506096
951,0.123025789
953,0.009681678
954,0.310443518
956,0.046023934
960,0.248763933
961,0.098545244
962,0.22907259
967,0.674623869
968,0.025758292
974,0.215260272
975,0.054210597
976,0.174921867
977,0.113364671
981,0.009695683
984,0.364940518
986,0.855834815
998,0.044010774
1000,0.043030437
1001,0.01861894
1003,0.287991829
1005,0.070045299
1008,0.135132361
1009,0.040202611
1011,0.087701413
1012,0.066077802
1018,0.061974106
1019,0.060986655
1022,0.061171082
1023,0.18966429
1027,0.065471843
1029,0.036294531
1031,0.042857505
1032,0.830352379
1035,0.273885104
1037,0.074508201
1039,0.013263847
1040,0.026237084
1041,0.087047732
1044,0.823151348
1046,0.089473888
1049,0.780293249
1050,0.173556923
1052,0.830229303
1056,0.070880625
1058,0.302157822
1060,0.229308348
1061,0.090410232
1062,0.193192286
1066,0.243636923
1067,0.040883828
1069,0.04080195
1071,0.018309725
1074,0.044524408
1075,0.069731429
1077,0.091625197
1083,0.660065239
1092,0.040723352
