content_id,target_bin,target_bin,target_bin,target_bin
2,0.079203005,0.084556658,0.066759973,0.076839879
5,0.011001961,0.013803006,0.011559395,0.012121454
6,0.112609025,0.092002867,0.095641237,0.100084376
11,0.169977676,0.155194312,0.153854163,0.159675384
14,0.22740382,0.206490676,0.249266049,0.227720181
16,0.030600422,0.022326771,0.035928997,0.02961873
20,0.091602248,0.0985122,0.108680831,0.099598426
21,0.243877207,0.260995687,0.268851904,0.257908266
26,0.076795053,0.072408913,0.091412901,0.080205622
27,0.031805033,0.022283353,0.023520453,0.025869613
28,0.260372441,0.276484349,0.285351561,0.274069451
30,0.057115854,0.055809052,0.063795258,0.058906721
33,0.155959209,0.159908532,0.174856987,0.163574909
39,0.07377989,0.077229007,0.064276114,0.071761671
40,0.234793558,0.255410181,0.257050637,0.249084792
41,0.089167444,0.089597545,0.087130171,0.08863172
42,0.059958073,0.042145174,0.065938196,0.056013814
45,0.101894016,0.091279211,0.107268923,0.100147384
47,0.227471521,0.220044249,0.253547084,0.233687618
51,0.225704821,0.205203568,0.210330117,0.213746169
56,0.133895356,0.115679217,0.125678046,0.125084206
62,0.055319824,0.046666893,0.042662692,0.04821647
65,0.152608667,0.166412726,0.159960574,0.159660656
71,0.084086138,0.086533907,0.061545129,0.077388391
72,0.047734282,0.054325829,0.052440698,0.05150027
74,0.30312123,0.295809724,0.328509511,0.309146822
78,0.016409532,0.018255629,0.015635495,0.016766886
79,0.901018523,0.877880377,0.91442431,0.897774403
81,0.045228113,0.048026453,0.053548577,0.048934381
82,0.038268544,0.036745215,0.040214326,0.038409361
83,0.029850178,0.028292932,0.0265128,0.028218636
85,0.163877993,0.139497198,0.187601024,0.163658739
87,0.101607362,0.10041228,0.094533897,0.09885118
98,0.107509433,0.10226782,0.090041776,0.099939676
100,0.028370426,0.040183096,0.029085527,0.032546349
103,0.112836346,0.08944418,0.072247791,0.091509439
104,0.193114645,0.203585998,0.199027735,0.198576126
105,0.124835762,0.102931251,0.132208949,0.119991988
106,0.197996694,0.211364863,0.19833587,0.202565809
115,0.085198289,0.09173143,0.108138987,0.095022902
119,0.922476395,0.922265655,0.931121265,0.925287772
124,0.098998614,0.089021942,0.086042794,0.09135445
126,0.072522845,0.070173861,0.062357028,0.068351245
128,0.209834515,0.188272564,0.193029085,0.197045388
133,0.120419268,0.150175133,0.133780418,0.134791606
136,0.035991803,0.031005019,0.029165691,0.032054171
137,0.063770103,0.067430853,0.062177658,0.064459538
